NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS
FERNANDO DE OLIVEIRA JORGE,60204.71,VEREADOR,1580
EDMILSON MARQUES DA SILVA,60010.1,VEREADOR,510
RONILSON DE SOUZA REIS,59929.71,VEREADOR,3184
TOMAZ AQUINO DA SILVA JUNIOR,58432.5,VEREADOR,1510
RANDER GOMES DE DEUS,58224,VEREADOR,1516
HEDER SALATIEL DA SILVA,58214.5,VEREADOR,998
PAULO PEREIRA MAGALHÃES,58100,VEREADOR,2960
FELIPE CORTES BEZERRA,57840.01,VEREADOR,1702
HONORIO ANGELO DA ROCHA,57300,VEREADOR,453
KLEYBE LEMES DE MORAIS,56200,VEREADOR,4062
HELIO ARAUJO PEREIRA,55322.5,VEREADOR,1504
ROGEMBERG DA SILVA BARBOSA,55080.06,VEREADOR,989
MAURÍLIO DIOGO LIMA,54842.5,VEREADOR,1405
DOMINGOS BARBOSA DOS SANTOS,54800,VEREADOR,1015
CLÉCIO ANTÔNIO ALVES,54390,VEREADOR,5132
WANDERSON DA SILVA LOPES,53795.399999999994,VEREADOR,478
ONOMAR DE JESUS NOVAIS PEREIRA,53630,VEREADOR,1406
NIVALDO DOS SANTOS,53500,VEREADOR,692
MAYCON KENEDI SILVA,52346.33,VEREADOR,305
EUDENIR DE SOUZA NEVES,52131.57,VEREADOR,1469
WELMA SILVA LIRA COTRIM,51988.34,VEREADOR,729
ISMARLA BORGES DOS SANTOS,51986.15,VEREADOR,852
ANDERSON CRUZ E FREIRE,51277,VEREADOR,3233
MOACIR PAIVA PONTES,50875.909999999996,VEREADOR,364
JOAO LUIZ ALVES DE OLIVEIRA JUNIOR,50811.95,VEREADOR,560
CARPEGIANE SILVESTRE DA SILVA,50800,VEREADOR,1080
JOÃO BATISTA GOMES,50756.46,VEREADOR,47
MARCELO SOARES DE QUEIROZ,50491.9,VEREADOR,658
ELIMAR MENDES DOS SANTOS,50325.36,VEREADOR,1574
EDUARDO DE ARAÚJO LIMA,50000,VEREADOR,492
NILTON DIAS DE OLIVEIRA,50000,VEREADOR,728
JOSE LIMA FERNANDES,48755.92,VEREADOR,209
CLEIDE PEREIRA DA ROCHA,48600,VEREADOR,910
JOSÉ HENRIQUE DE FREITAS,48058.299999999996,VEREADOR,964
EVANY CAMELO DA ROCHA,48043.889999999985,VEREADOR,101
EDSON VIEIRA DA SILVA,47828,VEREADOR,744
JEAN CARLOS RIBEIRO,47725.86,VEREADOR,1904
JUAREZ DE SOUZA LOPES,47650,VEREADOR,3173
NATHÁLIA PROENÇA BEZERRA GARCIA,47580,VEREADOR,930
HIGOR GOMES PIRES BUENO,47424.810000000005,VEREADOR,1338
FELIPE MEDEIROS NASCIMENTO,47323,VEREADOR,1706
MARIANE MONALISA APARECIDA COSTA CARNEIRO,47135,VEREADOR,369
FABRICIO NELIO FEITOZA,46155.96,VEREADOR,370
NILSON DA SILVA LINS,46073,VEREADOR,797
ALCEU DE SOUZA MORAIS,45881.13999999999,VEREADOR,285
PAULINO ALVES DOS SANTOS FILHO,45800,VEREADOR,553
HANLERYO ARANTES DE OLIVEIRA MATOS,45556.03,VEREADOR,1027
AAVA SANTIAGO AGUIAR,45302.53,VEREADOR,2865
DEUSIMAR ALVES,45226.759999999995,VEREADOR,326
ISAIAS RIBEIRO SANTANA,45185,VEREADOR,9323
JOELTON CARDOSO DO CARMO,45095.39,VEREADOR,64
ANTONIO JORGE AUAD GEMUS,45005.45,VEREADOR,898
MAURO RUBEM DE MENEZES JONAS,43868.08,VEREADOR,3608
JOSÉ ROBERTO GOMES DOS SANTOS,43751.4,VEREADOR,260
ANDRE FIRMINO DA SILVA,43689.3,VEREADOR,1023
LISIEUX JOSE BORGES,43602.06,VEREADOR,1157
CARLOS LOPES RIBEIRO,43435.58,VEREADOR,679
ANA ADELAIDE DO MONTE,43363.75,VEREADOR,11
CELIO DIAS DOS SANTOS,42720,VEREADOR,1004
MARCELO APARECIDA MEIRELES,42589,VEREADOR,1556
ELIAS ALVES DA SILVA,42500,VEREADOR,1387
JAKSON CHARLES OLIVEIRA DINIZ SERBETO,42322.5,VEREADOR,1481
MARCIEL DE OLIVEIRA MESQUITA,42262.99,VEREADOR,1584
LUÍS DE AQUINO PEREIRA,42064.6,VEREADOR,1244
PAULO CEZAR CAETANO,42064.21,VEREADOR,499
EDER GEAN SILVA,42000,VEREADOR,1327
JOÃO BATISTA CARVALHO,42000,VEREADOR,526
MARIA DE LOURDES BARROS PERFEITO,41830.55,VEREADOR,429
VALDEMIR ALVES MARTINS,41820,VEREADOR,290
KATIA MARIA DOS SANTOS,41805.57,VEREADOR,2023
MARINHO CAMARA CLEMENTE DE OLIVEIRA,41681.869999999995,VEREADOR,1006
EURIPEDES CIPRIANO MOTA,41452.08,VEREADOR,1251
EVERALDO MEIRELES RORIZ,41437.229999999996,VEREADOR,1491
MANOEL ALVES DE JESUS,41410.1,VEREADOR,914
LELIS PEREIRA RODRIGUES,41368.35,VEREADOR,2814
DIVINO CAVALHEIRO LEITE,41262.56,VEREADOR,2270
JAQUELINE APARECIDA DOS SANTOS CRISTÓVÃO,41211.35,VEREADOR,871
JAIR PEREIRA DA SILVA,41135,VEREADOR,474
ARTHUR RAMOS DA CONCEIÇÃO,41000,VEREADOR,131
SÉRGIO PINTO AFFONSO,40910,VEREADOR,950
ANA ALICE BORGES CAMELO BUENO,40863.16,VEREADOR,1208
ANDRÉ LUIS CARLOS DA SILVA,40860.07,VEREADOR,3702
WILSON PEREIRA DA SILVA CUNHA,40809,VEREADOR,2298
AILTON PEREIRA DA SILVA,40747,VEREADOR,254
OSMAR BORGES PINTO,40614.46000000001,VEREADOR,950
ROSILDO MANOEL DA SILVA,40605.72,VEREADOR,1954
EWERTON HENRIQUE VIDAL SOBREIRA MARTINS,40600,VEREADOR,329
WEULLER GONÇALVES DA SILVA,40495.14,VEREADOR,733
ELIO JUSTINIANO ALVES,40414.66,VEREADOR,2887
LUCIA HELENA BATISTA DE OLIVEIRA,40333,VEREADOR,1477
NATANIEL DE SENA SOARES,40250,VEREADOR,3549
FREDERICO ANTONIO BASTOS GODOY,40174,VEREADOR,1444
MANOEL PEREIRA DA ROCHA NETO,40174,VEREADOR,409
MARIO DAS MERCEZ,39321,VEREADOR,1344
NAYARA BARCELOS FERREIRA,38835,VEREADOR,988
YURI VAZ CORREIA,38830.24,VEREADOR,808
EDNON CÂNDIDO VIEIRA,38778.18,VEREADOR,953
SENIVALDO SILVA RAMOS,38750,VEREADOR,1085
PAULO SILVA DE JESUS,38632.33,VEREADOR,768
FRANCISCO IVANILSON FERREIRA DA SILVA,37959.57000000001,VEREADOR,45
CARLOS EDUARDO SILVA DE FARIA,37942.5,VEREADOR,1507
EDNAMAR APARECIDA OLIVEIRA SILVA,37862.5,VEREADOR,204
VELOMAR VIEIRA DE SOUSA,37700,VEREADOR,1762
ANDREA GONCALVES DE MELO,37612,VEREADOR,435
CELIOENES DE GOUVEIA ALVES,37493.219999999994,VEREADOR,1016
JOSÉ LUCENA SANTOS DE AGUIAR RORIZ,37280,VEREADOR,658
HUDSON MATHEUS DE PAULA PIRES,37119.29,VEREADOR,1196
DIVANITA AVELINO DIAS MARQUES,37000,VEREADOR,470
IRAN MENDONÇA CABRAL,36969,VEREADOR,880
CAMILA DA SILVA ROSA,36850,VEREADOR,2378
FELIPE DE MOURA GALDINO FERNANDES,36848.5,VEREADOR,662
LEONARDO SOARES DE ASSUNÇÃO,36846,VEREADOR,859
PAULO VITOR GONÇALVES MARQUES,36810.21,VEREADOR,2190
ANDRÉ LUIZ SALES DIAS,36760,VEREADOR,890
ALVARO ALEXANDRE CAMARGO DA SILVA,36689,VEREADOR,2842
MARCOS VINICIUS LOPES,36627.299999999996,VEREADOR,619
WALTER RORIZ DE QUEIROZ,36560,VEREADOR,846
MARCOS ANTÔNIO DE OLIVEIRA,36516.1,VEREADOR,690
SILVANA BARBOSA DOS SANTOS CAMARGOS,36492.5,VEREADOR,325
LUCIANO JOSE BRAZ DE QUEIROZ,36366,VEREADOR,949
JAILTON BATISTA DE ASSIS,36060,VEREADOR,932
WANDER FABIO DAVID SEVERINO,35985.35999999999,VEREADOR,1289
ADAILTON FLORENTINO DO NASCIMENTO JUNIOR,35925.47,VEREADOR,931
LEANDRO VIEIRA ESSADO,35801.71,VEREADOR,602
WESLEY DE SOUZA,35613.56,VEREADOR,976
ELTON RIBEIRO DE MAGALHÃES,35600.59,VEREADOR,1493
CLAUDETE ANTONIA DA COSTA ARRUDA,35500,VEREADOR,258
SERGIO DE SOUZA BRAVO JUNIOR,35445.259999999995,VEREADOR,1368
CARLEANE DE SOUSA,35278,VEREADOR,261
JOCELINO ANTONIO LARANJEIRAS NETO,35165.32,VEREADOR,586
SONIA CLEIDE FERREIRA DA SILVA,35086.57,VEREADOR,1130
ANTONIO LUIZ GOMES SOUZA,35000,VEREADOR,1449
ELIEZER ETERNO GUIMARAES,35000,VEREADOR,1760
MARQUES JOSÉ MATEUS,35000,VEREADOR,293
ROSY MARY MAGALHAES DE OLIVEIRA SOUSA,35000,VEREADOR,801
VALDESSOM CORREA PERES,35000,VEREADOR,550
VALDAIR DE JESUS COSTA,34862.5,VEREADOR,725
SUELI MARIA DE ALMEIDA PRADO,34851.64,VEREADOR,638
JOCIMAR FERREIRA MAYRINK,34686.16,VEREADOR,638
SAMIR DAHAS NOGUEIRA JÚNIOR,34672.83,VEREADOR,1115
CRISTIANO BATISTA PEREIRA,34601.16,VEREADOR,514
JULIO CESAR RODRIGUES LEMOS,34594,VEREADOR,1203
CLAUDEIR FREITAS DUARTE,34513.78,VEREADOR,544
MARTA DA SILVA BORGES SIMPLICIO,34476.5,VEREADOR,23
FABIO ROSA FLORENTINO,34200,VEREADOR,1981
KAMILLY BERTOLDO GONÇALVES,34004.1,VEREADOR,470
CINTIA APARECIDA DIAS,33771.39,VEREADOR,1733
JOSE GERALDO BARROS DOS SANTOS,33702.880000000005,VEREADOR,647
SANDRO PEREIRA,33702.08,VEREADOR,453
ALCEU NASCIMENTO GOMES SOARES,33603.5,VEREADOR,836
FERNANDA MOREIRA ARAÚJO MACHADO,33600,VEREADOR,591
GILSON RODRIGUES DA MATA,33500,VEREADOR,3213
LUZIMAR SILVA,33375.07,VEREADOR,2451
BERNARDO PAULA NETO,32976.520000000004,VEREADOR,875
GERALDO GOMES DOS SANTOS NETO,32935.03,VEREADOR,557
ESMERALDO SESCO,32851.9,VEREADOR,406
MAURICIO DELBONS OLIVEIRA,32500,VEREADOR,153
GILMAR MARTINS DOS SANTOS,32437.5,VEREADOR,678
LINDOMAR EURÍPEDES DAS NEVES,32354.6,VEREADOR,1386
DEBORAH PEREIRA ARAUJO DEBASTIANI,32340.35,VEREADOR,382
GERALDO CELIO PIMENTA,32253.18,VEREADOR,727
LUIZ CARLOS CABRAL DOS ANJOS,32213.8,VEREADOR,635
ALISSON DE ASSIS DIAS,32171.239999999998,VEREADOR,64
RAIMUNDO TELES DE OLIVEIRA SANTOS JUNIOR,31945,VEREADOR,1040
ARAMIZO INÁCIO DE OLIVEIRA,31886.95,VEREADOR,351
DANIELA MOREIRA MOURA MONTOVANI,31800.489999999998,VEREADOR,697
EDMUNDO NUNES DOURADO,31686.2,VEREADOR,1194
PAULO SERGIO ALVES DE PADUA,31650,VEREADOR,406
ROGERIO GOMES DOS SANTOS,31540,VEREADOR,1248
ANDRÉ LUIZ PEREIRA FERNANDES,31429,VEREADOR,191
MARIA LUIZA FELICIANO VERWAEST,31400.239999999998,VEREADOR,1752
CRESO DE OLIVEIRA VILELA,31317.53,VEREADOR,734
EVERALDO RAMIRO DA SILVA,31296.5,VEREADOR,1313
LEONARDO RORIZ FILHO,31203,VEREADOR,1086
ELIANA DE PAULA SILVEIRA,31191.9,VEREADOR,33
LUIZ FERNANDO DA SILVA CONCEIÇÃO,31123,VEREADOR,677
LUDMILA INGRID ROSA MELO,31107.93,VEREADOR,1437
ALI MUSTAFA KARFAN NETO,31082.33,VEREADOR,1513
ROBERTO LADISLAU DE MIRANDA,31062.5,VEREADOR,771
JULIANO DA SILVA MIRANDA,30985.36,VEREADOR,952
FILIPE VILARINS LACERDA,30971.2,VEREADOR,647
GLEIDE RIBEIRO DE SÁ ALVES,30886.5,VEREADOR,795
HELEANDRO FERREIRA DE SENA,30870,VEREADOR,3191
IDELSON MENDES,30589.12,VEREADOR,1267
JOSÉ ORESTES BORGES GUIMARÃES,30540,VEREADOR,2943
WANESSA SILVA ROCHA,30435,VEREADOR,245
PAULO CESAR FERNANDES DE BRITO,30360,VEREADOR,527
ELIAS MONTEIRO LIMA,30357.45,VEREADOR,1513
LORENNA GOMES SOUZA MENDES,30200,VEREADOR,236
AMARILDO PEREIRA FILHO,30194,VEREADOR,1166
CLEIDE MARTINS HILÁRIO DE BARROS,30130,VEREADOR,1456
SANDRA ROSA GOMES GADIA,30090.350000000002,VEREADOR,1104
OSÉIAS MENDES PEREIRA,30045,VEREADOR,2329
VERONEIDA RODRIGUES DE ASSIS,30000,VEREADOR,257
EBER DIAS DOS SANTOS,29894,VEREADOR,250
MARIA JOSÉ DUTRA,29883.2,VEREADOR,485
CELMA MARIA MARTINS CARDOSO CARVALHO,29826.05,VEREADOR,344
GUILHERME CHAGAS SILVA,29797.059999999998,VEREADOR,2207
EZIZIO ALVES BARBOSA,29753.32,VEREADOR,1985
JEAN EUSTÁQUIO MAGALHÃES ALVES,29742.34,VEREADOR,1232
NIXON SOUZA LEITE,29526,VEREADOR,557
VAGNER MARTINS FERREIRA,29467.04,VEREADOR,1935
RUBENS ALVES DA SILVA,29373,VEREADOR,788
ALEX DE ARAÚJO MARTINS,29269,VEREADOR,1753
SERGIO GOMES DE SOUSA,29201.5,VEREADOR,1249
PETRÔNIO DE OLIVEIRA COSTA,29161.16,VEREADOR,1285
PEDRO HENRIQUE DE OLIVEIRA ARAUJO,29141.269999999997,VEREADOR,493
WANDERLEY DIAS DA CRUZ,29019.160000000003,VEREADOR,376
FELISBERTO FERREIRA DE BRITO,28955.7,VEREADOR,591
LUZIANO MARTINS DE ARAUJO,28942.19,VEREADOR,755
LINDALVA SEVERINA FERREIRA,28700,VEREADOR,26
JAMIL CALIXTO SAID,28520.8,VEREADOR,1243
CARLOS EDUARDO CANZI,28520,VEREADOR,1099
WILLIAN RODRIGUES FIGUEIREDO,28450,VEREADOR,2062
HUDSON ALVES PEREIRA DA SILVA,28260.62,VEREADOR,224
GERALDO SIQUEIRA DO AMARAL,28255.36,VEREADOR,887
DIOSCLER LIMA FERREIRA,28180,VEREADOR,980
SELIANE MARIA DOS SANTOS,28116.66,VEREADOR,1714
RONALDO COUTINHO SEIXO DE BRITO,28100.82,VEREADOR,1124
LEONARDO FREITAS FONSECA,28000,VEREADOR,950
DENIS TADEU LEITE FRANCO,27871,VEREADOR,676
DAGMA REGINA MENDONÇA RABELO,27862.5,VEREADOR,132
FERNANDA SILVA CARVALHO,27862.5,VEREADOR,109
JOSICATIA DE JESUS PEREIRA LEMES,27862.5,VEREADOR,555
LIAMARA DA SILVA CHAVES MARTINS,27862.5,VEREADOR,181
TAMIRIS ANTÔNIA FIGUEIRA DA SILVA,27862.5,VEREADOR,14
MARCOS ANTONIO DE CARVALHO ROSA,27852.88,VEREADOR,1473
MARIA FRANCISCA MACHADO,27828,VEREADOR,32
FLORA BORGES DO CARMO NETA,27819,VEREADOR,25
RENATA BARBOSA DE SOUZA ARAÚJO,27562.5,VEREADOR,70
RONALDO BARBOSA DA SILVA,27512,VEREADOR,219
HANS MILLER RODRIGUES DE MEDEIROS,27501.67,VEREADOR,1889
RODOLFO DE SOUZA SILVA,27500,VEREADOR,2634
SEBASTIAO MENDES DOS SANTOS,27500,VEREADOR,2023
ELI ROSA DA SILVA,27491.11,VEREADOR,1355
ELIANE LUZIA REZENDE DE FREITAS,27273,VEREADOR,763
GENIVALDO DE SOUZA DILL OLIVEIRA,27239.9,VEREADOR,1958
ELIAS RODRIGUES FERREIRA,27206,VEREADOR,1572
MARISA MARTINS FERREIRA,27200,VEREADOR,75
ROSIMEIRE RIBEIRO,27200,VEREADOR,251
TANIA FATIMA DA COSTA,27200,VEREADOR,176
MARIO AUGUSTO ALVES BORGES,27150,VEREADOR,1996
TIAGO NUNES,27085,VEREADOR,572
EDSON SOUZA CARVALHO FILHO,27000,VEREADOR,2136
ATAIDES TEIXEIRA DE SOUZA,26950,VEREADOR,2167
FRANCISCO BANDEIRA DE OLIVEIRA,26823,VEREADOR,896
IZIDIO ALVES DE SOUZA,26797.55,VEREADOR,4007
FRANCISCO MONTEIRO DE OLIVEIRA,26788.550000000003,VEREADOR,210
MARIA APARECIDA DE OLIVEIRA SOUSA,26631,VEREADOR,916
ROSSANA DINIZ CAMARA MILHOMEM,26612.58,VEREADOR,272
PEDRO MACIEL FILHO,26546.62,VEREADOR,168
MARLON DOS SANTOS TEIXEIRA,26528.5,VEREADOR,2546
OMAR BORGES DE SOUSA,26500,VEREADOR,2474
SABRINA NEVES COSTA,26500,VEREADOR,427
VICTOR HUGO MONTEIRO DE ANDRADE,26236.11,VEREADOR,587
AGUSTINHO DE CARVALHO FILHO,26182.05,VEREADOR,711
JUVENIR DE AGUIAR MANSO,26079.33,VEREADOR,562
ORESTES FERREIRA PEREIRA,26064,VEREADOR,1484
GERALDO LOPES DE LIMA JUNIOR,26062.5,VEREADOR,800
WELTON DE OLIVEIRA LEMOS,26046.5,VEREADOR,2310
FRANCISCO DE ASSIS CASTRO,26016.84,VEREADOR,987
LUCIANO PERPETUO GARCIA,26000,VEREADOR,1515
LUIZ ROSA SANTOS,26000,VEREADOR,846
LUCIANA CANDIDA RIBEIRO DE AQUINO,25939.94,VEREADOR,356
KELIS LUIZ DA SILVA,25916.66,VEREADOR,730
NILTON PEREIRA DA SILVA,25750,VEREADOR,2436
EVALCIR CANDIDA BORGES,25611.48,VEREADOR,260
VALDIVINO BALTAZAR DA FONSECA,25570.36,VEREADOR,289
ZULENE MARTINS MACEDO,25522.8,VEREADOR,95
GERALDO SANTANA DA SILVA,25500,VEREADOR,369
DEYVI CHARLLE ARAUJO ALVES,25434.990000000005,VEREADOR,335
CARLOS ROBERTO DE CASTRO CURADO,25370,VEREADOR,344
JOSÉ PACIFICO NETO,25276.95,VEREADOR,508
CARLOS ALBERTO DA SILVA,25197.5,VEREADOR,3402
DIEGO GRACIANO DE MEDEIROS,25189.5,VEREADOR,444
ANTONIO ALVES DOS SANTOS FILHO,25100,VEREADOR,294
JOSE RONALDO GOMES,25000,VEREADOR,1121
BELMIRO MARTINS MATOS,24928,VEREADOR,528
MARCOS VINICIUS DE SOUZA,24750,VEREADOR,2440
BRUNO BORGES DIAS,24745.85,VEREADOR,574
WILDES SILVA DE OLIVEIRA JUNIOR,24647.7,VEREADOR,1661
PAULO HUMBERTO MENDONÇA DE SOUZA DUARTE,24636,VEREADOR,797
MARIA DE JESUS LOPES DA SILVA RODRIGUES,24631.1,VEREADOR,415
RENATA VIEIRA DA SILVA FREITAS,24618.73,VEREADOR,619
ALEXANDRE CARDOSO PEREIRA,24441.3,VEREADOR,715
THIAGO SIMOES GOMES,24216.98,VEREADOR,1227
SUEZA ABADIA DE SOUZA OLIVEIRA,24197.57,VEREADOR,1009
LENINA RIBEIRO MACHADO REZENDE,24109.96,VEREADOR,1012
ANTONIO NETO FARIA,23995,VEREADOR,1637
LEANDRO JUNIOR MAURILIO DA SILVA,23990,VEREADOR,1725
JUCÉLIA SANTOS FERREIRA,23900,VEREADOR,171
MARIANA DE OLIVEIRA LOPES BARBOSA,23876.35,VEREADOR,1614
JANETE ALI DAHBUR MENDES,23822.57,VEREADOR,587
TRICIA BARRETO DE MORAES DO CARMO,23311.1,VEREADOR,1561
WILMAR JOSÉ SILVESTRE,23300,VEREADOR,907
FRANCISCO NUNES DE MORAES,23203.2,VEREADOR,1345
FABRICIO SILVA ROSA,23170.719999999998,VEREADOR,4299
LILIANE DA COSTA MENDES,23045.739999999998,VEREADOR,1202
NEUZIVAN NUNES DE SOUZA,23033.38,VEREADOR,121
IVAN DE OLIVEIRA COUTO,23023,VEREADOR,410
JOAO BATISTA FEITOSA,22933.51,VEREADOR,1455
REBECA DE MATOS ROMERO,22855.31,VEREADOR,1227
RAPHAEL CAVALCANTE CALIXTO,22837.59,VEREADOR,2618
JOSY CHAVEIRO DE CARVALHO,22831.1,VEREADOR,63
CURY TAVARES DE AQUINO,22770,VEREADOR,668
WILSON SODRÉ DE OLIVEIRA,22745,VEREADOR,1515
DULCIMAR FERNANDES PEREIRA,22725,VEREADOR,564
OTAVIANO DA CRUZ VIEIRA,22694.4,VEREADOR,550
DIEGO COSTA FERREIRA SANTOS,22662.5,VEREADOR,276
CONCEIÇÃO APARECIDA COSTA LACERDA E SILVA,22658.939999999995,VEREADOR,55
FERNANDO MARQUES FAUSTINO,22629,VEREADOR,789
ADERSON ANTONIO TEIXEIRA,22564,VEREADOR,831
NEWTON MORAIS SOUZA,22562.5,VEREADOR,3413
TEOBALDO DE QUEIROZ GOMES VIEIRA,22560,VEREADOR,542
EVALDO SANTOS DE SOUZA,22533,VEREADOR,659
CARLOS ANTONIO DE SOUSA COSTA,22522.5,VEREADOR,1112
NELSON D APARECIDA MEIRELES,22330,VEREADOR,728
CARLOS ANTONIO SOARES,22283.08,VEREADOR,1004
FABIO ALVES CAIXETA,22096.05,VEREADOR,1235
GEANE GOMES SOUSA,22091.67,VEREADOR,103
VIVIANE DE SOUZA MORGADO,22026.059999999998,VEREADOR,169
LEANDRO RODRIGUES COSTA,21951.760000000002,VEREADOR,872
RODRIGO CIRQUEIRA DE SOUSA,21853.2,VEREADOR,806
LUCIANO FERREIRA LUZ,21730,VEREADOR,227
EDSON DE SOUZA NUNES,21621,VEREADOR,545
CLOVIS REZENDE DE CARVALHO,21580,VEREADOR,463
VALERIA MENESES PETTERSEN,21511.760000000002,VEREADOR,2523
NILSON DOMINGUES,21500,VEREADOR,59
JOEL DA SILVA ROBERTO,21457.6,VEREADOR,265
LUZIMEIRE DE SOUZA JAMES,21400,VEREADOR,329
THÉO GOMES SOBRINHO,21355,VEREADOR,328
ANTONIO XAVIER RIBEIRO SOBRINHO,21280,VEREADOR,229
CLAESE MARIA DA ROCHA,21240,VEREADOR,869
LONGUIMAR JOSE DE SOUZA,21232.9,VEREADOR,669
VALDIRENE MARIA XAVIER MACEDO,21210.56,VEREADOR,361
SANDRA MARIA DE OLIVEIRA,21131.1,VEREADOR,64
VILMAR LIMA DA SILVA,21108.36,VEREADOR,1503
DANILO CARLOS FARIA,21062.5,VEREADOR,324
JEOVÁ RODRIGUES DE OLIVEIRA,21062.5,VEREADOR,89
WANDERSON DA SILVA BASTOS,21000,VEREADOR,593
CELIO DE CARVALHO SILVA,20950,VEREADOR,2440
ALINE APARECIDA RIBEIRO ALVES,20942.76,VEREADOR,229
WESLLEY MOREIRA DE SOUZA,20900,VEREADOR,909
